data_movimento, data_nf, codnota, numfilial, codbarra, codproduto, produto, codcor, codtamanho, quantity, price, valor_total, custo_medio, fufilled_quantity, total_sold_quantity, outbound_quantity, status, last_nota_status, codfilial
2023-10-20 00:00:00, 2023-10-11 00:00:00, 17177, 21102, 4038986638999, TPV-GH210RA1B/FG, 219247, 000, U, 48.0, 175.32, 8415.36, 194.81, 0, 12.0, -48.0, e, t, TPV 
2023-05-22 00:00:00, 2023-05-15 00:00:00, 61050, 21102, 7898620271367, TPV-22B1HM5, 219252, 000, U, 6.0, 371.29, 2227.7400000000002, 369.61, 6.0, 6.0, 0.0, f, t, TPV 
2023-05-22 00:00:00, 2023-05-15 00:00:00, 61053, 21102, 7898620271121, TPV-24G2HE5, 219256, 000, U, 5.0, 518.76, 2593.8, 516.41, 5.0, 6.0, 1.0, f, f, TPV 
2023-10-02 00:00:00, 2023-10-02 00:00:00, 78363, 21102, 7898620271121, TPV-24G2HE5, 219256, 000, U, 1.0, 899.0, 899.0, 516.41, 1.0, 6.0, 0.0, f, t, TPV 
2023-05-22 00:00:00, 2023-05-15 00:00:00, 61054, 21102, 7898620271558, TPV-27B1HM, 219260, 000, U, 2.0, 570.85, 1141.7, 568.27, 2.0, 8.0, 6.0, f, f, TPV 
2023-08-02 00:00:00, 2023-07-27 00:00:00, 63771, 21102, 7898620271558, TPV-27B1HM, 219260, 000, U, 3.0, 594.17, 1782.5099999999998, 591.49, 3.0, 8.0, 3.0, f, f, TPV 
2023-08-21 00:00:00, 2023-08-11 00:00:00, 64328, 21102, 7898620271558, TPV-27B1HM, 219260, 000, U, 4.0, 543.87, 2175.48, 541.41, 4.0, 8.0, -1.0, p, t, TPV 
2023-05-22 00:00:00, 2023-05-15 00:00:00, 61064, 21102, 7898620270988, TPV-242V8A, 219296, 000, U, 4.0, 571.17, 2284.68, 568.59, None, None, None, e, f, TPV 
2023-05-22 00:00:00, 2023-05-15 00:00:00, 61065, 21102, 7898620270872, TPV-193V5LHSB2, 219288, 000, U, 4.0, 344.42, 1377.68, 342.86, None, None, None, e, f, TPV 
2023-05-22 00:00:00, 2023-05-15 00:00:00, 61066, 21102, 7898620271374, TPV-221V8L, 219289, 000, U, 4.0, 423.04, 1692.16, 421.13, None, None, None, e, f, TPV 
2023-05-22 00:00:00, 2023-05-15 00:00:00, 15594, 21102, 4056487005652, TPV-PD27/FG, 219276, 000, U, 2.0, 3285.73, 6571.46, 3728.93, 2.0, 2.0, 0.0, f, t, TPV 
2023-05-22 00:00:00, 2023-05-15 00:00:00, 15597, 21102, 8712581756802, TPV-242B9T/FG, 219295, 000, U, 2.0, 1399.53, 2799.06, 1588.31, None, None, None, e, f, TPV 
2023-05-22 00:00:00, 2023-05-15 00:00:00, 15598, 21102, 8712581760250, TPV-162B9T/FG, 219287, 000, U, 2.0, 1088.39, 2176.78, 1235.2, None, None, None, e, f, TPV 
2023-05-22 00:00:00, 2023-05-15 00:00:00, 15599, 21102, 8712581753719, TPV-499P9H/FG, 219300, 000, U, 6.0, 4409.9, 26459.399999999998, 5004.73, None, None, None, e, f, TPV 
2023-05-22 00:00:00, 2023-05-15 00:00:00, 15605, 21102, 8712581768188, TPV-SPT6501B/FG, 219286, 000, U, 20.0, 65.38, 1307.6, 69.97, 20.0, 1.0, -19.0, p, t, TPV 
2023-05-22 00:00:00, 2023-05-15 00:00:00, 15606, 21102, 4038986630115, TPV-GH100B/FG, 219246, 000, U, 12.0, 109.16, 1309.92, 123.45, 12.0, 4.0, -8.0, p, f, TPV 
2023-10-20 00:00:00, 2023-10-11 00:00:00, 17178, 21102, 4038986630115, TPV-GH100B/FG, 219246, 000, U, 120.0, 107.85, 12942.0, 119.84, 0, 4.0, -128.0, n, t, TPV 
2023-05-22 00:00:00, 2023-05-16 00:00:00, 15630, 21102, 4895229123946, TPV-8LR932P5B/59, 219320, 000, U, 200.0, 7.01, 1402.0, 8.36, None, None, None, e, f, TPV 
2023-05-22 00:00:00, 2023-05-16 00:00:00, 15633, 21102, 4895229119536, TPV-R6B4RTU25/59, 219375, 000, U, 80.0, 32.66, 2612.7999999999997, 38.95, 80.0, 4.0, -76.0, p, t, TPV 
2023-05-22 00:00:00, 2023-05-16 00:00:00, 15629, 21102, 4895229119420, TPV-8LR932/59, 219319, 000, U, 200.0, 1.79, 358.0, 2.13, None, None, None, e, f, TPV 
2023-05-22 00:00:00, 2023-05-16 00:00:00, 15621, 21102, 4895229119451, TPV-CR2032P5B/59, 219323, 000, U, 200.0, 4.12, 824.0, 4.91, 200.0, 3.0, -197.0, p, f, TPV 
2023-12-16 00:00:00, 2023-12-16 00:00:00, 78831, 21102, 4895229119451, TPV-CR2032P5B/59, 219323, 000, U, 1.0, 14.9, 14.9, 4.91, 0, 3.0, -198.0, n, t, TPV 
2023-05-22 00:00:00, 2023-05-16 00:00:00, 61139, 21102, 7898620271510, TPV-32PHG6917/78, 219185, 000, U, 8.0, 886.6, 7092.8, 900.15, 8.0, 8.0, 0.0, f, t, TPV 
2023-05-22 00:00:00, 2023-05-16 00:00:00, 61137, 21102, 7898620271381, TPV-50PUG7406/78, 219187, 000, U, 6.0, 1560.86, 9365.16, 1584.71, 6.0, 2.0, -4.0, p, t, TPV 
2023-05-22 00:00:00, 2023-05-16 00:00:00, 61135, 21102, 7898620271428, TPV-55PUG7906/78, 219190, 000, U, 6.0, 1876.08, 11256.48, 1904.75, 6.0, 5.0, -1.0, p, t, TPV 
2023-05-22 00:00:00, 2023-05-16 00:00:00, 61134, 21102, 7898620271688, TPV-32S5135/78G, 219181, 000, U, 10.0, 669.63, 6696.3, 679.86, 10.0, 24.0, 14.0, f, f, TPV 
2023-08-21 00:00:00, 2023-08-11 00:00:00, 64314, 21102, 7898620271688, TPV-32S5135/78G, 219181, 000, U, 8.0, 673.73, 5389.84, 684.02, 8.0, 24.0, 6.0, f, f, TPV 
2023-10-04 00:00:00, 2023-09-28 00:00:00, 66257, 21102, 7898620271688, TPV-32S5135/78G, 219181, 000, U, 12.0, 682.99, 8195.880000000001, 693.43, 12.0, 24.0, -6.0, p, f, TPV 
2023-10-06 00:00:00, 2023-10-06 00:00:00, 78376, 21102, 7898620271688, TPV-32S5135/78G, 219181, 000, U, 2.0, 799.0, 1598.0, 693.43, 0, 24.0, -8.0, n, f, TPV 
2023-11-22 00:00:00, 2023-11-22 00:00:00, 78619, 21102, 7898620271688, TPV-32S5135/78G, 219181, 000, U, 1.0, 1299.0, 1299.0, 693.43, 0, 24.0, -9.0, n, f, TPV 
2023-11-22 00:00:00, 2023-11-22 00:00:00, 78620, 21102, 7898620271688, TPV-32S5135/78G, 219181, 000, U, 1.0, 1299.0, 1299.0, 693.43, 0, 24.0, -10.0, n, t, TPV 
2023-05-22 00:00:00, 2023-05-16 00:00:00, 15635, 21102, 4895229119505, TPV-R6B2RTU10/59, 219328, 000, U, 80.0, 9.92, 793.6, 11.83, None, None, None, e, f, TPV 
